Region;count_2016
Belgorod;1717
Bryansk;630
Vladimir;5421
Voronezh;10334
Ivanovo;618
Kaluga;9963
Kostroma;121
Kostroma;2846
Lipetsk;616
Moskva;87706
Orel;878
Ryazan';2718
Smolensk;761
Tambov;1165
Tver';4430
Tula;4237
Yaroslavl';6404
Moscow City;231728
Karelia;1207
Komi;1909
Arkhangel'sk;1094
Nenets;59
Vologda;509
Kaliningrad;2057
Leningrad;7247
Murmansk;2265
Novgorod;1602
Pskov;278
City of St. Petersburg;76950
Adygey;282
Kalmyk;184
Krasnodar;7532
Astrakhan';692
Volgograd;4026
Rostov;12102
Dagestan;1997
Ingush;326
Kabardin-Balkar;1122
Karachay-Cherkess;581
North Ossetia;612
Chechnya;480
Stavropol';2537
Bashkortostan;8008
Mariy-El;281
Mordovia;927
Tatarstan;12189
Udmurt;1800
Chuvash;1487
Perm';10304
Kirov;1672
Nizhegorod;41427
Orenburg;1404
Penza;4690
Samara;9615
Saratov;5364
Ul'yanovsk;5136
Kurgan;683
Sverdlovsk;22180
Tyumen';8789
Khanty-Mansiy;1831
Yamal-Nenets;112
Chelyabinsk;14785
Altay;132
Buryat;1191
Tuva;388
Khakass;237
Gorno-Altay;2719
Zabaykal'ye;478
Krasnoyarsk;7632
Irkutsk;4409
Kemerovo;1551
Novosibirsk;21843
Omsk;4779
Tomsk;9922
Sakha;2279
Kamchatka;1093
Primor'ye;5655
Khabarovsk;1813
Amur;667
Maga Buryatdan;664
Sakhalin;827
Yevrey;2
Chukot;24
;
;
;
;
;
;
